,Demographic,DBN,School Name,Cohort Year,Total Cohort,Total Grads #,Total Grads %,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropout #,Dropout %,Grad Year,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,Closest LIU Distance,Num of LIU Near,Distance From HFL,Closest HFV,borough
10,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2002,72,45,62.5,45,62.5,100.0,0,0.0,0.0,45,62.5,100.0,0,0.0,0.0,18,25.0,7,9.7,2006,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
11,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2003,79,49,62.0,44,55.7,89.8,0,0.0,0.0,44,55.7,89.8,5,6.3,10.2,20,25.3,10,12.7,2007,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
12,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2004,80,58,72.5,48,60.0,82.8,0,0.0,0.0,48,60.0,82.8,10,12.5,17.2,13,16.3,9,11.3,2008,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
13,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2005,85,61,71.8,58,68.2,95.1,0,0.0,0.0,58,68.2,95.1,3,3.5,4.9,11,12.9,9,10.6,2009,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
14,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2006,90,70,77.8,67,74.4,95.7,0,0.0,0.0,67,74.4,95.7,3,3.3,4.3,15,16.7,5,5.6,2010,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
15,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2001,69,34,49.3,6,8.7,17.6,0,0.0,0.0,6,8.7,17.6,28,40.6,82.4,19,27.5,10,14.5,2005,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
16,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2002,55,22,40.0,11,20.0,50.0,4,7.3,18.2,7,12.7,31.8,11,20.0,50.0,18,32.7,11,20.0,2006,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
17,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2003,70,31,44.3,22,31.4,71.0,0,0.0,0.0,22,31.4,71.0,9,12.9,29.0,20,28.6,18,25.7,2007,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
18,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2004,65,29,44.6,13,20.0,44.8,3,4.6,10.3,10,15.4,34.5,16,24.6,55.2,27,41.5,8,12.3,2008,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
19,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2005,88,49,55.7,38,43.2,77.59999999999998,18,20.5,36.7,20,22.7,40.8,11,12.5,22.4,20,22.7,14,15.9,2009,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
20,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2006,84,47,56.0,40,47.6,85.1,17,20.2,36.2,23,27.4,48.9,7,8.3,14.9,25,29.8,5,6.0,2010,2020,01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
21,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2001,166,88,53.0,36,21.7,40.9,0,0.0,0.0,36,21.7,40.9,53,31.9,60.2,45,27.1,30,18.1,2005,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
22,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2002,172,77,44.8,53,30.8,68.8,0,0.0,0.0,53,30.8,68.8,24,14.0,31.2,67,39.0,28,16.3,2006,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
23,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2003,205,86,42.0,71,34.6,82.6,48,23.4,55.8,23,11.2,26.7,15,7.3,17.4,80,39.0,39,19.0,2007,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
24,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2004,200,97,48.5,74,37.0,76.3,60,30.0,61.9,14,7.0,14.4,23,11.5,23.7,78,39.0,25,12.5,2008,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
25,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,154,70,45.5,56,36.4,80.0,45,29.2,64.3,11,7.1,15.7,14,9.1,20.0,64,41.6,20,13.0,2009,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
26,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,193,105,54.4,91,47.2,86.7,69,35.8,65.7,22,11.4,21.0,14,7.3,13.3,53,27.5,35,18.1,2010,2020,01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.720040000000004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,0.05329753520996197,2206,2.0304576019133798,LEE HEYWARD GROCERY INC,Manhattan
27,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2003,58,58,100.0,57,98.3,98.3,49,84.5,84.5,8,13.8,13.8,1,1.7,1.7,0,0.0,0,0.0,2007,2020,01M539,M539,"New Explorations into Science, Technology and Math",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",2000-07-01T00:00:00.000,Open,M022,111 COLUMBIA STREET,NY,989910.0,201380.0,-73.97958100000001,40.719415999999995,103.0,2.0,2201.0,1003350001.0,MN28,Lower East Side,MARK BERKOWITZ,Principal,212-677-5190,212-260-8124,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05060341335564978,2333,1.7461659797952687,LEE HEYWARD GROCERY INC,Manhattan
28,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2004,60,58,96.7,58,96.7,100.0,54,90.0,93.1,4,6.7,6.9,0,0.0,0.0,0,0.0,2,3.3,2008,2020,01M539,M539,"New Explorations into Science, Technology and Math",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",2000-07-01T00:00:00.000,Open,M022,111 COLUMBIA STREET,NY,989910.0,201380.0,-73.97958100000001,40.719415999999995,103.0,2.0,2201.0,1003350001.0,MN28,Lower East Side,MARK BERKOWITZ,Principal,212-677-5190,212-260-8124,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05060341335564978,2333,1.7461659797952687,LEE HEYWARD GROCERY INC,Manhattan
29,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,49,47,95.9,47,95.9,100.0,38,77.59999999999998,80.9,9,18.4,19.1,0,0.0,0.0,2,4.1,0,0.0,2009,2020,01M539,M539,"New Explorations into Science, Technology and Math",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",2000-07-01T00:00:00.000,Open,M022,111 COLUMBIA STREET,NY,989910.0,201380.0,-73.97958100000001,40.719415999999995,103.0,2.0,2201.0,1003350001.0,MN28,Lower East Side,MARK BERKOWITZ,Principal,212-677-5190,212-260-8124,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.05060341335564978,2333,1.7461659797952687,LEE HEYWARD GROCERY INC,Manhattan
